Source,Target,Weight
12,70,5
12,98,7
12,105,4
12,125,2
12,222,4
12,226,7
12,241,3
12,249,4
12,305,4
12,355,16
12,401,7
12,407,4
12,417,4
12,419,3
12,421,3
12,422,2
12,459,3
12,493,3
12,500,2
12,539,2
12,561,4
12,569,10
12,628,4
12,639,1
12,671,4
12,689,2
12,692,2
12,697,3
12,698,5
12,712,7
12,713,2
12,715,1
12,719,4
12,758,1
12,857,8
12,874,2
12,879,1
12,1078,3
12,1079,3
12,1082,2
12,1083,3
12,1086,4
12,1170,5
12,1171,5
12,1243,12
12,1246,3
12,1247,3
12,1433,2
12,1437,5
12,1467,4
12,1503,4
12,1504,4
12,1505,2
12,1548,5
12,1575,2
12,1576,2
12,1583,1
12,1584,1
12,1590,3
12,1643,9
12,1644,2
12,1645,3
12,1646,25
12,1664,4
12,1670,3
12,1722,10
12,1760,2
12,1761,3
12,1770,2
12,1849,3
12,1851,2
12,1881,3
12,1885,5
12,1946,2
12,1998,5
12,2042,1
12,2052,3
12,2072,5
12,2074,5
12,2075,1
12,2112,4
12,2117,6
12,2119,1
12,2152,2
12,2249,5
12,2251,5
12,2262,4
12,2339,4
12,2360,8
12,2410,3
12,2413,1
12,2494,3
12,2642,2
12,2652,7
12,2668,1
12,2735,3
12,2821,2
12,3137,8
12,3149,2
12,3152,3
12,3155,1
12,3161,3
12,3193,3
12,3203,1
12,3266,1
12,3274,4
12,3304,3
12,3349,7
12,3394,2
12,3491,1
12,3676,4
12,3815,1
12,3914,4
12,3915,4
12,3916,4
12,3917,4
12,3918,4
12,3919,1
12,3920,1
12,3921,1
12,3922,1
12,3923,1
12,3924,1
12,3928,7
12,3929,7
12,3938,2
12,4122,1
12,4500,4
12,4501,4
12,4558,5
12,4670,3
12,4698,4
12,4797,9
12,4929,10
12,4930,3
12,4993,3
12,5090,5
12,5516,4
12,5822,8
12,5877,4
12,5880,4
12,6111,5
12,6121,1
12,6122,1
12,6157,4
12,6338,1
12,6358,3
12,6444,2
12,6522,1
12,6735,3
12,7016,2
12,7292,6
12,7301,3
12,7369,6
12,7511,19
12,7765,3
12,7932,4
12,7934,4
12,8435,1
12,8495,4
12,8496,4
12,8774,4
12,8784,4
12,8823,3
12,8866,3
12,9155,4
12,9157,16
12,9366,4
12,9372,4
12,9379,2
12,9388,1
12,9580,4
12,9581,4
12,9666,4
12,9667,1
12,9676,4
12,9736,2
12,9737,2
12,9738,2
12,9743,2
12,9787,5
12,9937,1
12,9977,4
12,9978,4
12,9979,4
12,9980,4
12,9981,4
12,9982,1
12,9983,1
12,10027,4
12,10472,12
12,10608,5
12,10615,3
12,10632,3
12,10694,1
12,10741,4
12,10761,4
12,10763,4
12,10859,4
12,10863,3
12,10935,5
12,10988,12
12,11035,3
12,11036,3
12,11037,3
12,11414,3
12,12014,1
12,12159,10
12,12164,4
12,12281,4
12,12336,3
12,12340,5
12,12409,2
12,12446,10
12,13169,2
12,15845,2
12,15846,2
12,16401,3
12,16461,5
12,16493,1
12,16840,6
12,16975,4
12,18736,3
12,19270,1
12,19277,4
12,19717,12
12,19863,5
12,19872,1
